system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id,stations_allegiance
HIP 17044,-74.25,-129.53125,-283.15625,75500,Blaha Hub,Ocellus Starport,664,Independent,Wolf 335 Systems 
Pegasi Sector GR-M b7-3,-116.125,-120.25,36.65625,82892,Bombelli Landing,Planetary Outpost,51,Federation,Anuma Industry 
Hyades Sector ZU-O b6-0,40.15625,-83.5625,-142.125,41236,Lysenko Enterprise,Coriolis Starport,484,Federation,Kyamatae Solutions 
HIP 99351,-126.34375,-17.84375,70.0625,181986,Wheelock Colony,Civilian Outpost,946,Federation,Vandar Future 
HIP 81274,-47.46875,96.21875,167.59375,1082,Bus Port,Coriolis Starport,1035,Independent,The Sovereign Justice Collective 
HIP 77282,66.15625,22.375,135.84375,86030,Priestley's Claim,Industrial Outpost,1564,Independent,Brazilian Armada X 
Col 285 Sector XV-L c8-18,-161.59375,79.5,-1.28125,71227,Wylie Dock,Orbis Starport,18,Federation,Purple State Incorporated 
Col 285 Sector XK-O d6-70,-81.59375,43.9375,157.15625,5295,Ordway Arsenal,Planetary Outpost,107,Independent,New Nona Nationalists 
Col 285 Sector TP-N c7-12,-149.6875,84.9375,-52.28125,1640,Preuss Base,Planetary Outpost,,Independent,Amahinohara Crimson Hand Gang 
Col 285 Sector TG-Z b15-2,-157.1875,68.15625,-21.4375,94165,Tavares Works,Planetary Outpost,290,Independent,HR 1782 Federal Limited 
Col 285 Sector PN-G b12-4,117.5625,77.3125,-87.3125,59656,Kerimov Works,Industrial Outpost,15,Empire,New Skoko Order 
Capricorni Sector FW-W c1-27,-86.09375,-99.21875,124.375,17547,Anastase Perrotin's Claim,Industrial Outpost,965,Empire,Ardin Major Group 
Antliae Sector BQ-Y c8,139.4375,80.09375,-10.84375,169227,McAllaster Laboratory,Planetary Outpost,8,Independent,Church of Cuichit 
Pleiades Sector IH-V c2-7,-78.46875,-144.9375,-324.9375,1200000,Ohm Beacon,Industrial Outpost,38,Federation,Workers of Tengu League 
Pleiades Sector GW-W c1-13,-77.375,-156.3125,-352.03125,1200000,Dobrovolskiy Colony,Mining Outpost,123108,Independent,HIP 90151 Camorra 
Pleiades Sector HR-W d1-41,-83.96875,-146.15625,-334.21875,1200000,Beliaev Installation,Military Outpost,31,Independent,Traditional Iyakajauja Law Party 
Pleiades Sector PD-S b4-0,-80.625,-156.6875,-337.4375,1200000,Zahn Enterprise,Planetary Outpost,,Independent,HIP 84255 Dynamic & Co 
Taygeta,-88.5,-159.6875,-366.28125,1200000,Platt Dock,Coriolis Starport,181,Independent,Ordovii & Co 
Pleiades Sector DL-Y d65,-83.28125,-151.40625,-347.1875,1200001,Herreshoff Landing,Industrial Outpost,334,Federation,239 G. Aquarii Holdings 
Asterope,-80.15625,-144.09375,-333.375,1200001,Sekelj Enterprise,Industrial Outpost,1035,Independent,Silver Vision PLC 
Atlas,-76.71875,-147.34375,-344.4375,1200000,Somerville Platform,Civilian Outpost,3271,Independent,Society of HIP 4073 
Celaeno,-81.09375,-148.3125,-337.09375,1200000,Harrison Colony,Industrial Outpost,101,Independent,Gliese 113.1 Netcoms Co 
Electra,-86.0625,-159.9375,-361.65625,1200000,Arzachel Survey,Mining Outpost,162065,Independent,Frao First 
HIP 21369,-94.5,23.5625,-163.125,6170,Potocnik Works,Mining Outpost,2101,Empire,Gerdulla Blue Federal & Co 
HIP 33275,83.3125,12.53125,-153.6875,675893,Palitzsch Orbital,Coriolis Starport,58,Empire,Geirsemi Citizens' Forum 
HIP 17694,-72.25,-152.53125,-338.6875,800000,Seyfert Vision,Civilian Outpost,1193,Independent,Gerdulla Gang 
Col 285 Sector PQ-R b19-6,-160.15625,13.03125,58.5,1390126,Gann Base,Planetary Outpost,574,Independent,Crimson Allied Incorporated 
HR 5542,54,53.84375,102.34375,348715,Krigstein Relay,Mining Outpost,275,Empire,Visho Empire Assembly 
HR 4721,145.6875,59.8125,78.53125,502178,Rothman Dock,Coriolis Starport,748,Alliance,Ross 113 Creative Services 
Col 285 Sector JI-O b21-6,122.0625,29.9375,102.46875,101171,Fox Arena,Industrial Outpost,908,Independent,Kina Blue Rats 
HIP 80818,-121.4375,117,34.09375,620,Lee Vision,Planetary Outpost,,Independent,Nidayiman Boys 
Capricorni Sector FW-W c1-11,-73.1875,-92.3125,108.15625,692118,Malcolm Colony,Industrial Outpost,74,Independent,Bugulmara Flag 
Col 285 Sector WB-R b19-6,-132.3125,-47.15625,67.8125,51832,Skiff Penal colony,Planetary Outpost,446,Empire,Ongkuma Empire Party 
Col 285 Sector MD-S d4-45,-145.8125,96.71875,50.34375,31812,Legendre Hub,Planetary Outpost,1906,Empire,Kikians Emperor's Grace 
Col 285 Sector SP-E c12-19,-32.4375,39.71875,173.15625,60723,McKay Forum,Planetary Outpost,9,Federation,Social LP 27-9 Green Party 
Hyades Sector KH-V c2-16,40.1875,-75.71875,-154.125,129662,Doctorow Ring,Commercial Outpost,391,Independent,Future of HR 4749 
NGC 6188 Sector LC-V c2-28,1706.1875,-87.625,4057.15625,15000,Hawker Oasis,Civilian Outpost,28,Independent,United Oshatha Labour Union 
HIP 1185,-77.1875,-279.46875,-0.3125,15000,Somayaji Terminal,Industrial Outpost,1549,Independent,HIP 113402 State Industry 
HIP 6975,-88.125,-97.0625,-87.75,285243,van der Riet Woolley Settlement,Industrial Outpost,43,Independent,Communist Party of Drakonia 
NGC 7822 Sector BQ-Y d12,-2454.1875,299.0625,-1326.0625,2500,Stabenow Prospect,Industrial Outpost,2408,Independent,HIP 65135 Collective 
Sadr Region Sector GW-W c1-22,-1792.125,52.65625,369.5625,1500,Heaviside Platform,Civilian Outpost,2009,Empire,HIP 30045 Emperor's Grace 
GM Cephei,-2660.96875,180.15625,-433.15625,5000,Pawelczyk Landing,Industrial Outpost,2465,Independent,HIP 91786 Crimson Organisation 
2MASS J03291977+3124572,-379.8125,-382.09375,-954.46875,10000,Szilard Beacon,Civilian Outpost,23,Federation,Djiwali Republic Party 
Lagoon Sector FW-W d1-122,-467.75,-93.1875,4485.625,2500,Grothendieck Depot,Planetary Outpost,45,Independent,Mingal Pro-Independent Group 
Eagle Sector IR-W d1-105,-2046.21875,104.40625,6699.90625,25000,Selous Horizons,Coriolis Starport,3764,Independent,Sirius Inc 
HIP 16813,-57.03125,-143.375,-268.28125,2500,McDivitt Depot,Civilian Outpost,3904,Independent,HR 8977 Inc 
Antliae Sector IM-W d1-96,153.15625,47.4375,74.46875,131252,Davy Arsenal,Planetary Outpost,1663,Federation,Confederation of HIP 14974 
Scorpii Sector HR-W c1-21,24.28125,2.9375,146.28125,6911,Fozard Relay,Planetary Outpost,1270,Independent,Kenna Nationals 
HR 1183,-72.875,-145.09375,-336.96875,1200000,Britnev Dock,Ocellus Starport,3645,Independent,Official HR 8276 Flag 
Col 285 Sector SJ-G c11-13,96.6875,31.53125,129.0625,301720,Sadi Carnot Observatory,Planetary Settlement,2280,Federation,24 Canum Venaticorum Alliance 
Col 285 Sector PY-R d4-100,-127.0625,49.1875,46.65625,29976971,Apgar Beacon,Planetary Settlement,2703,Federation,Blest Holdings 
